order;used_for_T_value;plant_habit;pollen_habit;familly;Vincens_et_al_pollen_types;R_labels;KMl1;KMk;KMj;Kmi;KMh;KMg;KMf;Kme;KMd2b;KMd2a;KMc;KMb;KMa
247;yes;HS(T);I;MALVACEAE;Abutilon;Abutilon;0;0;0;0;0;0;0;0;0;0;0;0;0
261;yes;ST(L);AL;MIMOSACEAE;Acacia;Acacia;2;1;1;0;0;2;0;1;0;0;1;0;0
166;yes;HS(T);I;EUPHORBIACEAE;Acalypha;Acalypha;0;0;0;1;0;0;0;0;0;0;0;0;0
1;yes;HS(TL);I;ACANTHACEAE;Acanthaceae undiff.;Acanthaceae;0;0;0;0;0;0;0;0;1;0;0;1;0
2;yes;HST;I;ACANTHACEAE;Acanthus-type;Acanthus;0;0;0;0;0;0;0;0;0;0;0;0;0
25;yes;H;N;AMARANTHACEAE;Achyranthes-type aspera;Achyranthes_aspera;0;0;0;0;0;0;0;1;0;3;0;0;0
52;yes;ST;A;APOCYNACEAE;Acokanthera-type schimperi;Acokanthera_schimperi;;;;;;;;;;;;;
82;yes;T;A;BOMBACACEAE;Adansonia;Adansonia;;;;;;;;;;;;;
53;yes;ST;A;APOCYNACEAE;Adenium-type obesum;Adenium_obesum;;;;;;;;;;;;;
26;yes;H;N;AMARANTHACEAE;Aerva-type;Aerva;;;;;;;;;;;;;
27;yes;H;N;AMARANTHACEAE;Aerva-type javanica;Aerva_javanica;0;0;0;0;0;0;0;1;0;0;0;0;0
28;yes;H;N;AMARANTHACEAE;Aerva-type lanata;Aerva_lanata;0;0;2;0;0;0;0;0;0;0;0;0;0
190;yes;S;A;FABACEAE;Aeschynomene baumii-type;Aeschynomene_baumi;;;;;;;;;;;;;
358;no;S;A;RUTACEAE;Agathosma-type;Agathosma;;;;;;;;;;;;;
20;yes;HT;I;AGAVACEAE;Agavaceae undiff.;Agavaceae;;;;;;;;;;;;;
21;yes;H;N;AIZOACEAE;Aizoaceae undiff.;Aizoaceae;;;;;;;;;;;;;
23;yes;T;A;ALANGIACEAE;Alangium chinense;Alangium_chinense;0;0;0;0;0;0;0;0;0;0;0;0;0
262.1;yes;T(S);A;MIMOSACEAE;Albizia-type;Albizia;;;;;;;;;;;;;
329;yes;HS;I;ROSACEAE;Alchemilla;Alchemilla;1;0;1;0;0;0;0;0;0;0;0;0;0
167;yes;ST;A;EUPHORBIACEAE;Alchornea;Alchornea;;;;;;;;;;;;;
365;yes;T;A;SAPINDACEAE;Allophylus abyssinicus-type;Allophylus_abyssinicus;1;0;0;0;0;0;0;0;0;0;0;0;0
24;yes;H(ST);I;ALOACEAE;Aloe-type;Aloe;0;0;0;0;0;0;0;0;0;0;0;0;0
54;yes;T;A;APOCYNACEAE;Alstonia-type boonei;Alstonia_boonei;;;;;;;;;;;;;
29;yes;H(La);N;AMARANTHACEAE;Alternanthera;Alternanthera;0;0;0;0;0;0;0;0;0;0;0;0;0
40;yes;H(STL);I;AMARANTHACEAE/CHENOPODIACEAE/CARYOPHYLLACEAE;Amaranthaceae/Chenopodiaceae/Caryophyllaceae  undiff.;Amar/Cheno/Caryo;0;3;48;49;19;4;11;0;7;0;0;2;0
30;yes;H;N;AMARANTHACEAE;Amaranthus-type;Amaranthus;;;;;;;;;;;;;
41;yes;ST(L);A;ANACARDIACEAE;Anacardiaceae undiff.;Anacardiaceae;;;;;;;;;;;;;
319;yes;Ha;Nq;PRIMULACEAE;Anagallis angustiloba-type;Anagallis_angustiloba;;;;;;;;;;;;;
168;yes;H;N;EUPHORBIACEAE;Andrachne aspera-type;Andrachne_aspera;;;;;;;;;;;;;
47;yes;ST;A;ANNONACEAE;Annona-type senegalensis;Annona_senegalensis;;;;;;;;;;;;;
138;yes;T;A;COMBRETACEAE;Anogeissus-type leiocarpa;Anogeissus_leiocarpa;;;;;;;;;;;;;
237;yes;T(SL);A;LOGANIACEAE;Anthocleista;Anthocleista;;;;;;;;;;;;;
335;yes;HS;I;RUBIACEAE;Anthospermum;Anthospermum;;;;;;;;;;;;;
380;no;H;N;SCROPHULARIACEAE;Anticharis-type;Anticharis;;;;;;;;;;;;;
48;yes;H(ST);I;APIACEAE;Apiaceae undiff.;Apiaceae;0;0;0;1;0;0;0;0;0;3;0;0;0
55;yes;STL(H);I;APOCYNACEAE;Apocynaceae undiff.;Apocynaceae;1;0;0;0;0;0;0;0;0;0;0;0;0
