types_version;n_pollen;occurrences;plant_habitus;pollen_habitus;familly;Pollen_types_accepted;R_labels;E068;E069;E070;E071;E073;E074;W_386;W_385;W_388 ;Lac_Abhe;Awash;Melka_kontoure;Eth_HADAR01;Eth_HADAR02;Eth_HADAR03;Eth_HADAR04;Eth_HADAR05;Eth_HADAR06;Eth_HADAR07;E241;E242;E243;E244;E245;E246;E247;E248;E249;E250;E251;E252;E253;E254;E255;AML81-LS;AML81-LZ;AML81S33 ;AML81S36;AML81-VR;S136_3;S136_4;S136_5;S137_6;S257_4;E047;E048;E049;E050;E051;E052;E053;E054;E055;E003;E004;E005;E006;E007;E008;E009;E010;E011;E012;E013;E014;E015;E016;E017;E018;E019;E020;E021;E022;E023;E024;E025;E026;E268;E269;E270;E271;E272;E273;E274;E275;E276;E277;E278;E279;E280;E281;E282;E283;Omo_CR100_8;DW_16;DW_4;DW_1;DW_10;DW_14;DW_15;DW_18;DW_2;DW_2bis;DW_3;DW_5;DW_6;DW_7;DW_8;NG_1;NG_2;NG_3;NG_5;NG_6;NG_7;NG_8;NG_9;RB_1;RB_10;RB_11;RB_2;RB_4;RB_676;RB_7;DW_13;Awash_350;Awash_352;Awash_547_bis;Awash_574;Awash_575;Awash_582;Awash_A_Sued;Awash_A_Stat;Awash_C_L;Awash_G_604;Awash_G_80;Awash_Gba;Awash_Gomb;Awash_H_742;Awash_H_C74;Awash_H_C80;Awash_H_S4;Awash_H_V1;Awash_Hgf;Awash_K_80;Awash_L_A549;Awash_M_S;Awash_MK_G1;Awash_MK_G2;Awash_T_H;Awash_Tj;BB17-01;BB17-02;BB17-03;BB17-04;BB17-05;BB17-06;BB17-07;BB17-08;BB17-09;BB17-10;BB17-11;BB17-12;BB17-13;BB17-14;BB17-15;BB17-16;BB17-17;BB17-18;BB17-19;BB17-20;BB17-21;BB17-23;BB17-24;BB17-25;BB17-26;BB17-27;BB17-28;BB17-29;BB17-30;BB17-31;BB17-32;BB17-33;BB17-34;BB17-35;BB17-36;BB17-37;BB17-38;BB17-39;BB17-40;BB17-41;DB09-5;DB09-12;DB09-13;DB09-16;DB09-21;DB09-30;DB09-31;DB09-32;DB09-35;DB09-38;DB09-39;DB09-41;DB09-47;DB09-50;DB09-1;DB09-2;DB09-4;DB09-6;DB09-15;DB09-17;DB09-48;DB09-49;E200;E201;E202;E203;E204;E205;E206;E207;E208;E209;E213;E214;E228;E227;E229;E230;E231;E215;E223;E212;E217;E210;E224;E222;E226;E221;E232;E211;E233;E216;E220;E235;E219;E218;E234;E095;E094;E093;E085;Y96-40;Y96-03;Y96-08;Y96-138;Y96-139;Y96-140;RaK-01;RaK-02;RaK-03;RaK-04;Rak-08;RaK-05;RaK-07;RaK-06;FB_K3Sa;M_7a;M_104a;DB11-74;DB11-73;DB11-72;DB11-71;DB11-70;DB11-69;DB11-62;DB11-61;DB11-59B;DB11-59A;DB11-58;DB11-57;DB11-56;DB11-55;DB11-54
old;71;24;HS(TL);I;ACANTHACEAE;Acanthaceae undiff.;Acanthaceae;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;2;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;7;4;2;3;1;1;7;1;1;;2;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;3;;11;;;2;7;;;;;1;;
old;319;56;HST;I;ACANTHACEAE;Acanthus-type;Acanthus;;;;;;;;;;;;;;6;11;;2;53;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;;;;;;;;;1;1;2;;;65;4;2;;;;;;1;;4;;3;3;;4;;11;1;1;;2;;;;;7;;;;;;;1;1;;;;;;;;;;;;;;;;;;;2;3;;2;1;;;;;;;;5;;2;;;;1;1;;1;;;;;;1;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;15;3;34;8;12;;4;;;;;;;;;;;;;1;;;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;2;1;;;;;;;11;1;2;1;5;;;;;;;;;;;;;;;;;;;;1;;;;;;
old;1;1;HS(L);I;ACANTHACEAE;Asystasia;Asystasia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;
old;5;4;HSL;I;ACANTHACEAE;Barleria;Barleria;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;4;3;S(L);AL;ACANTHACEAE;Duosperma;Duosperma;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;38;16;H(S);I;ACANTHACEAE;Dyschoriste-type radicans;Dyschoriste_radicans;;;;;;;;1;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;6;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;;1;1;;;;;;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;460;81;H(SL);I;ACANTHACEAE;Hypoestes-type;Hypoestes;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;1;;2;6;21;32;43;;;;;;;1;;;;;;;1;5;1;2;4;;1;;;;1;;;;;;;;;;;;1;;;6;13;;;3;;1;;;;9;3;;2;;;1;3;;;;;;;;1;;;;;;;;;;;;1;;;2;;1;;;1;;4;3;9;4;;1;2;3;1;;;;;;1;1;2;;;3;;6;;;5;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;18;;;;;;;;1;;9;;;;4;;1;3;;5;11;2;2;3;;1;;;33;1;;12;2;;;;;2;;1;;;;;;;11;2;;;15;7;;;;;;;1;;;;;;;;1;;;;2;11;5;11;;;1;;;;;;;;;;;;;;;8;22;;;4;7;;;16;;;;;3;4
old;24;12;HS;I;ACANTHACEAE;Isoglossa;Isoglossa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;3;;2;3;1;7;;1;;;;;;;;;;;;;;;;;1;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;279;51;H;N;ACANTHACEAE;Justicia anselliana-type;Justicia_anselliana;;;;;;;;;;;;;1;2;;;;4;;;;;;;;;;;;;;;;;;1;11;50;4;;;;;;;;;;;;;;;3;;;;;3;;2;;;;;;;;;1;;;;1;;;;1;;;;;;;;;;;7;1;;;;1;1;;;;;;;;;;;;;;;;;;;;1;;;1;;1;;;;;;;;1;;1;2;;;;;;;;;;;;;;;3;;;7;;10;3;;1;;;;;;;;1;;;;;;;;;;1;7;;;;;;;;3;;;;;;;;;1;;;;;;2;;1;;5;5;;;;;52;;;11;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;1;13;;2;;;;;;;;;;;;;;;;2;2;;;;4;2;5;9;;;1;;;
new;14;8;H;N;ACANTHACEAE;Justicia striata-type;Justicia_striata;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;3;1;3;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;10;7;H(S);I;ACANTHACEAE;Justicia-type;Justicia;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;115;44;H;N;ACANTHACEAE;Justicia-type flava;Justicia_flava;;;;;;;;;;;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;3;;;;;;;;;;;;5;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;1;1;;;;;;;;2;;;;;;;;;;1;1;;1;1;;;;;;;;;;2;1;1;8;;;3;;;;;6;;7;2;;2;;;;;;1;;;;;2;;;;;;;;1;;;;;1;;;2;1;1;;1;;2;;;;;;;1;2;26;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;2;3;1;;;;;;;;;;;;;;;;;;2;;;;;6;1;;1;;;;;;
old;61;24;S;A;ACANTHACEAE;Justicia-type odora;Justicia_odora;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;6;3;;;;;3;;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;1;;;;;;;;;2;;;;;;;1;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;3;;;;1;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;4;;;;;9;7;;;;;;;5;1
old;7;1;HS;I;ACANTHACEAE;Megalochlamis revoluta-type;Megalochlamis_revoluta;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;6;3;HS;I;ACANTHACEAE;Mellera-type lobulata;Mellera_lobulata;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;24;6;HST;I;ACANTHACEAE;Mimulopsis-type solmsii;Mimulopsis solmsii;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;2;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;10;5;H;N;ACANTHACEAE;Phaulopsis-type imbricata;Phaulopsis_imbricata;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;40;12;HS;I;ACANTHACEAE;Ruellia-type patula;Ruellia_patula;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;1;;;;;;;;5;5;;1;3;;;;;;3;;;;;3;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;10;2;S;A;ACANTHACEAE;Ruttya-type fruticosa;Ruttya_fruticosa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;19;4;HT;I;AGAVACEAE;Agavaceae undiff.;Agavaceae;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;;;;;;;;;1;;;;;;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;5;2;H;N;AIZOACEAE;Aizoaceae undiff.;Aizoaceae;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;54;6;H(S);I;AIZOACEAE;Limeum;Limeum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;21;7;4;3;5;;;;;;;;;;;;;;;;;;;
old;2;1;T;A;ALANGIACEAE;Alangium chinense;Alangium_chinense;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;23;7;H(ST);I;ALOACEAE;Aloe-type;Aloe;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;596;133;H;N;AMARANTHACEAE;Achyranthes-type aspera;Achyranthes_aspera;;2;;;;1;;2;;2;;;;2;3;6;4;;1;;;;;;;;;;;;;;;;;1;2;3;7;;;;2;;;;;1;;;;;;4;;;4;1;1;2;2;;;;;;1;;1;7;3;;2;;1;;1;;;;2;;;;3;;;;;;;;1;7;;;;2;1;;1;;3;1;;1;1;2;;17;;1;1;;2;4;1;1;5;;;2;2;;2;3;2;2;5;2;3;4;3;8;5;;1;5;;2;3;4;2;8;2;2;3;2;2;;4;5;;7;1;3;5;3;4;22;3;9;;6;9;11;1;4;;;;6;;;;6;1;;;;;7;;;25;1;;1;;;;1;;;2;24;17;;4;4;21;;;3;;1;6;;;27;;2;;;;1;;;;;;;;2;;;;;1;1;;;;1;;;1;;1;2;;;;;;;1;4;14;10;23;;;;;;;;;;;;;;;;;;5;6;4;17;7;13;2;4;8;;;1;;4;2
old;2;2;H;N;AMARANTHACEAE;Aerva-type;Aerva;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;569;35;H;N;AMARANTHACEAE;Aerva-type javanica;Aerva_javanica;;;;;;;;;;41;;;;1;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;2;;232;;;1;;24;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;1;;1;;;;10;;1;;5;;;41;;;;;;;;;;;;1;1;;;;;;6;;;;2;;;;;3;15;;23;73;38;13;;10;;1;;1;4;;;4;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;322;40;H;N;AMARANTHACEAE;Aerva-type lanata;Aerva_lanata;;;;;;;;;;;;;1;2;;;;;2;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;;;1;1;1;1;;1;16;1;;;1;;2;;;;;;1;2;2;1;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;5;;2;;;;;;;;;;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50;3;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;1;;;;;;;;;;1;;;;1;100;33;40;21;6;8;;;;;;;;;;;;1;;;;;3;;;;;;;;;
old;54;10;H(La);N;AMARANTHACEAE;Alternanthera;Alternanthera;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;37;;;;;;;1;;1;;;;;1;;;;5;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
