labels;elevation_(m);types;locality;authors_notes_and_publication_informations;potential_vegetations;vegetations_observed_with_Google_Earth  ;edaphic_complements;changes_since_sampling  ;vegetation_group_inferred
E068;2100;old-soil;Mont_Zuquala;Olea,_Dodonaea,_Clutia;Fb/Wd;Fb/Wd;NA;No_significant_change;Fb/Wd-low/middle
E069;2300;old-soil;Mont_Zuquala;Olea,_Dodonaea,_Clutia;Fb/Wd;Fb/Wd;NA;No_significant_change;Fb/Wd-low/middle
E070;2500;old-soil;Mont_Zuquala;Myrsine;Fb/Wd;Fb/Wd;NA;No_significant_change;Fb/Wd-low/middle
E071;2830;old-soil;Mont_Zuquala;Juniperus_forest;Fb/Wd;limit_between_E_and_Fb/Wd;NA;housing_installation_(preserved_forest_nearby);Fb/Wd-upper
E073;2840;old-soil;Mont_Zuquala;Juniperus_forest;Fb/Wd;limit_between_E_and_Fb/Wd;NA;housing_installation_(preserved_forest_nearby);Fb/Wd-upper
E074;2850;old-soil;Mont_Zuquala;Near_of_lake;Fb/Wd;high__limit__Fb/Wd;crater_lake_bank_of_high_altitude;No_significant_change;Fb/Wd-upper
W_385;2750;old-soil;Mt_Wochacha;Highland_thicket;upper_limit_Fb/Wd;upper_limit_Fb/Wd;NA;No_significant_change;Fb/Wd-upper
W_388;2900;old-soil;Mt_Wochacha;Mountain_dry_forest;limit_between_E_and_Fb/Wd;limit_between_E_and_Fb/Wd;NA;Crops_development_?;Fb/Wd-upper
W_386;3050;old-soil;Mt_Wochacha;Ericaceae_area;limit_between_E_and_Fb/Wd;limit_between_E_and_Fb/Wd;NA;No_significant_change;Fb/Wd-upper
Lac_Abhe;240;old-mud;Lac_Abhe;Sub-desert_steppe;limit_between_D_and_Zw;limit_between_D_and_Zw;bank_of_lake_and_short_river_fed_by_hot_spring;Lake_level_decrease;Bd-spring 1
Awash;2022;old-mud;Awash_(Est_of_Addis);NA;Fb/Wd;Fb/Wd;Crops;No_significant_change;removed
Melka_kontoure;2015;old-mud;Melka_Kontoure;Acacia_open_woodland;Fb/Wd;Fb/Wd;Awash_river;No_significant_change;Fb/Wd-river
Eth_HADAR01;495;old-soil;Hadar;Riparian_Tamarix_forest;Bd;R;NA;No_significant_change;Bd-rtf
Eth_HADAR02;505;old-soil;Hadar;Acacia/Commiphora_steppe;Bd;Bd;NA;No_significant_change;Bd-wb 1
Eth_HADAR03;502;old-mud/soil?;Hadar;dry_Urda_stream;Bd;Bd;NA;No_significant_change;Bd-wb 2
Eth_HADAR04;505;old-soil;Hadar;Riparian_Tamarix_forest;Bd;R;NA;no_more_forest_because_the_river_has_moved_;Bd-rtf
Eth_HADAR05;506;old-mud/soil?;Hadar;Dry_abandonned_meander;Bd;limit_between_Bd_and_R;NA;No_significant_change;Bd-wb 2
Eth_HADAR06;584;old-soil;Hadar;Steppe/grassland:_Acacia/Commiphora;Bd;Bd;NA;No_significant_change;Bd-wb 1
Eth_HADAR07;575;old-mud;Gawani;Typha_swamp/hot_spring;limte_between_Bd_and_Z;Wz;Awash_river,_near_to_hot_spring;No_significant_change;Bd-spring 1
E241;3406;old-soil;Arsi_Mountains;Ericaceae_belt;A;limit_between_E_and_A;NA;No_significant_change;A.E-e
E242;3600;old-soil;Arsi_Mountains;Ericaceae_belt;A;A;NA;No_significant_change;A.E-e
E243;2629;old-soil;Arsi_Mountains;Forest_limit;Fb/Wd;upper__limit__Fb/Wd;NA;No_significant_change;Fb/Wd-upper
E244;3225;old-soil;Arsi_Mountains;Ericaceae_belt;A;limit_between_E_and_A;NA;No_significant_change;A.E-e
E245;3334;old-soil;Arsi_Mountains;Juniper_forest_limit;A;limit_between_E_and_A;NA;No_significant_change;A.E-e
