"";"A.E-e";"Fa-w";"Fa-upper";"Fa-sc 2";"Fa-sc 1";"Fb/Wd-upper";"Fb/Wd-low/middle";"Wcd";"Bd-wgc";"Bd-rtf";"Bd-wb 3";"Bd-wb 2";"Bd-wb 1";"Bd-spring 1";"Bd-spring 2";"S-xs";"S-xds";"D";"Wcd/Fb/Wd-river";"We/Bd/S-river"
"AML81.LS";-0.000600301637746855;-0.0190463698223635;-0.0253484427641871;-0.0216673189472248;-0.00914098314367374;-0.00754624844619509;-0.0239916452623557;0.00983104484468411;-0.00870712418192405;-0.00427211011169626;-0.00859041772514287;-0.0068074515011868;0.00850631240223985;-0.00405050137921036;0.000482626815652745;-0.006938418105744;-0.00843622729329627;-0.0156451113609333;0.0157346828188511;0.0388508959034124
"AML81.LZ";-0.0108164826687848;-0.0256854504452308;-0.0362865592957409;-0.0350187240798921;-0.036190993521994;-0.0115249891160647;-0.0308754120467486;0.0199813416288725;-0.0119018497147408;-0.000257710704271813;-0.00874331303064876;-0.00547415160827015;0.019304697586342;-0.00814897478800301;-0.0127724158315374;-0.00975878405263366;-0.0123450935087413;-0.0349845244273111;0.0269705651069633;0.0630355699062132
"AML81.VR";0.00635115854343071;-0.0111880313857389;-0.0179580104236143;-0.0152424971517744;-0.013151394627916;-0.00692698375160911;-0.0160362413242039;0.00287087265908036;0.00160273631987676;-0.00625764993880049;-0.00455308705760785;-0.00529405904779959;0.00105910543020267;0.00906607050412213;0.015293979515286;-0.00102481151631941;0.0338053841043433;0.00406092623679273;0.00383885682468678;0.0212060011707303
"Awash_350";0.00480522614581476;-0.0133517023629501;-0.0207244225174382;-0.0180378618531161;-0.0181466090035932;-0.00527356869671008;-0.0178415618170938;0.00340786110663382;-0.00322050277552054;0.00148673117184406;-0.00318655596767026;-0.00285405644815356;0.00690562684871728;0.00398976869284367;0.0126687886341534;-0.00278463627410195;0.00162130168989231;4.12108743958507e-05;0.00682640554903329;0.0240753536004762
"Awash_352";0.0031274167961133;-0.0128125162678513;-0.0182875406526859;-0.0172600868590642;-0.0188898754500341;-0.00651093107541011;-0.0165140845070423;0.00463763472660357;-0.00400931777669746;-0.00417248062015504;-0.00535068457762852;-0.00448608456760631;0.00520287621982537;0.000548455804046859;0.00698186255742726;-0.00345941126888413;-0.00771174224715599;-0.0044359756097561;0.00933417277167277;0.036047764749515
"Awash_547_bis";-0.000352597813272933;-0.0178802480431664;-0.0233891539725076;-0.0202818006742322;-0.0176683909991868;-0.00571916470177771;-0.0205004828833775;0.00771172640373791;-0.00656944502493417;-0.00132238942088463;-0.0033634193696953;-0.00602241797156218;0.00785870825751185;-0.0016259088408492;-0.00296867745802527;-0.00688405956550172;-0.00913280405484019;-0.0173239402077279;0.0145268256127985;0.0359039937045052
"Awash_574";0.0169371093993624;-0.012175808559196;-0.0225668510194825;-0.0201111019695994;-0.0223988536032395;-0.00771574218651059;-0.0203420014638455;-6.6799888585883e-05;0.00032576032092882;-0.00604595450710727;-0.00690876771783233;-0.00448792346837164;0.00116573102338598;0.0158127716091037;0.0359176254909421;0.00030339498024298;-0.0106442109143481;0.0211126135902016;0.00425851811888773;0.0219815101341955
"Awash_575";0.0037480002031901;-0.0183408798582232;-0.0300924466193293;-0.0278665615550016;-0.0294164214579354;-0.0107313003855771;-0.0264316394822838;0.00986317127920591;-0.00571309703179085;-0.0029878733614508;-0.00914091926640226;-0.00482121618305046;0.0101941573272262;0.00463323148926233;0.0138470871715145;-0.00417977308722135;-0.00499946396816081;-0.00504526321858963;0.0156959442673728;0.0421917513548549
"Awash_582";-0.00117905262060681;-0.0201134395687394;-0.0300155641387351;-0.0283680622121288;-0.0289110564489156;-0.00995490457573455;-0.0257743518100193;0.0118363713670247;-0.00764917135589807;-0.00108374133006936;-0.00760397045611664;-0.00463886030357602;0.0129328001763327;-0.000312038791475363;0.00297370126045471;-0.005517641379495;-0.00365607486187688;-0.0157211744182219;0.0178744866244866;0.0455075333997702
"Awash_A_Stat";-0.00246963392426653;-0.0135803100314233;-0.0174702536784466;-0.0160989413143966;-0.0131872849147953;-0.00422067358376251;-0.0152913407710648;0.00729833426253302;-0.00490034755189261;0.00235072750290481;-0.00240242218712309;-0.0036781013947632;0.00720510378114746;0.000539157811230938;-0.00355278168905516;-0.0056123796630762;-0.0080951081073449;-0.0148975706759305;0.00951304474794408;0.0276193043713131
"Awash_A_Sued";-0.00354956150870236;-0.0197543784631453;-0.0266017664091439;-0.0249178207745997;-0.0239739937671455;-0.00477878167657624;-0.022518589936861;0.0106927120012091;-0.00798303399000058;-0.00167306734940616;-0.00572792117659978;-0.00574672966974523;0.0107847772285651;-0.00502594847840449;-0.00434369014335155;-0.0072753647844347;0.0010462937943412;-0.0209840630516397;0.0178130992351176;0.0418013289822617
"Awash_C_L";-0.002667960795714;-0.0211399731073606;-0.0289397916843086;-0.0261214530642742;-0.0236607949592214;-0.0058505264892613;-0.0251863746582056;0.0117407964763192;-0.00943381484825335;-0.00362927147603227;-0.00614903995697995;-0.0064596699883967;0.0109452358241704;-0.0033250390578997;-0.00474277861987061;-0.00794427088088688;-0.0094509402639036;-0.022250566893424;0.0196410024216147;0.0450957193044969
"Awash_G_604";-0.000841326586195543;-0.0155080421829801;-0.0202763275031601;-0.0180896929665259;-0.0136949552939141;-0.00339227667644755;-0.0156408835252732;0.00446593741480703;-0.0059822452090723;-0.00280334840654608;-0.000733732311489997;-0.0021573510024597;0.00676254066084575;0.00263098995669519;0.00136079561567693;-0.00564476815530437;-0.00887273532688057;-0.011011053397571;0.00962081257220146;0.0264047185451456
"Awash_G_80";-0.000800077467205396;-0.0171331995849052;-0.0241052216757029;-0.0220679501313229;-0.0203958981083792;-0.00520107660255357;-0.0212754781745831;0.00811353887201863;-0.00654811395478096;-0.00240029341447511;-0.00420768981909574;-0.0024338471362039;0.00887418458303933;0.00145526774635046;0.00128737244350303;-0.00560953691567576;-0.00387423738638168;-0.0136387812476256;0.013165799672809;0.0347430413132532
"Awash_Gba";0.00516699548338773;-0.0164718574591142;-0.0236725687661641;-0.0210731661664086;-0.0207714481351172;0.000547684761625155;-0.0188444148807974;0.00520411616864988;-0.00663792389187419;-0.00623656940929277;-0.00771757771286197;-0.00757119409471878;0.00477928626747059;-0.00229830764958134;0.00834184981022669;-0.00522723935198517;-0.00124748846349164;-0.00540335998842535;0.014662784169971;0.0311129126781659
"Awash_Gomb";0.00171962576341176;-0.020177554472391;-0.0281676178607339;-0.0254842690071342;-0.0247550695562276;-0.0040975234524996;-0.023487120324115;0.00950768546132507;-0.00825710703427847;-0.0047034156149959;-0.00650787381094919;-0.00705565765292728;0.00880734223708713;-0.00383831196434357;0.00164010683168783;-0.00681637880042196;-0.00456392230322506;-0.0157884513998724;0.0178846087549159;0.0414736331278074
"Awash_H_742";-0.00264284934008381;-0.0167003364661023;-0.0240893640831258;-0.0220889916608746;-0.0210884025035004;-0.00606815135187746;-0.0203386665416246;0.00799429745454371;-0.00621316769709446;0.00332503399198319;-0.00297963538230955;-3.82280886391017e-05;0.0122720584478818;-0.000570364632247672;-0.000885696644538787;-0.006197589406231;-0.00959971431238847;-0.0153943737615053;0.0122935467468497;0.0337793287005807
"Awash_H_C74";0.00184379513822278;-0.0165216418526093;-0.0224822170277559;-0.0205081727455489;-0.0167411581863933;-0.00638496855987832;-0.0200521637200369;0.00523697122699423;-0.00591960594201206;0.00405948204928327;-0.00320099753358666;-0.00260211612531263;0.00742870423771854;0.00416880952884981;0.00595473619820853;-0.00403000379973753;0.00875729012408555;-0.00797679066176137;0.00947554928001855;0.0286598936488295
"Awash_H_C80";0.00045995539596285;-0.0165802576390648;-0.023856887556428;-0.0219261077973119;-0.0205092768931407;-0.00667878813757557;-0.0212161628790989;0.0066407224154731;-0.00530809183581695;0.00128788309546824;-0.00403887221070224;-0.00190134889029329;0.0101035216446928;0.000834373196437756;0.00545909981016711;-0.004368352793521;-0.00648758093282933;-0.00915048270287104;0.0111819381379284;0.0326079283674105
