"";"A.E-e";"Fa-w";"Fa-upper";"Fa-sc 2";"Fa-sc 1";"Fb/Wd-upper";"Fb/Wd-low/middle";"Wcd";"Bd-wgc";"Bd-rtf";"Bd-wb 3";"Bd-wb 2";"Bd-wb 1";"Bd-spring 1";"Bd-spring 2";"S-xs";"S-xds";"D";"Wcd/Fb/Wd-river";"We/Bd/S-river"
"Acanthaceae";-1.09257642180408;-1.04758639073064;0.222241322713868;0.772581246409578;1.48199095635715;-1.21956388744968;2.27708156836507;-0.952462811630862;4.38395691851228;-1.04758639073064;2.49439091721799;-1.04758639073064;-1.00096341318595;0.121328898567994;2.8055271361945;-0.731919075545916;-0.595261242998007;-0.792129981052145;-1.97080367259172;-0.925847160678296
"Acanthus";-1.75432497542086;1.3433321792108;-0.704137195847975;-0.11833870117935;-2.02265914014818;-1.95822584505487;-1.175225722057;-1.52934775568791;-0.443499204359791;-0.169376666074405;1.52999848915187;0.586977756568196;4.69991278880154;-0.818831956080061;-1.44796203183533;3.05232236145359;-0.955797365430177;-1.27190499612358;-0.91776696908648;2.97520010434748
"Asystasia";-0.228992259424809;-0.219562833105974;-0.199625954670811;-0.153402361135185;-0.264017951655542;-0.255607465552725;-0.153402361135185;-0.199625954670811;5.57967042106629;-0.219562833105974;-0.310974369634324;-0.219562833105974;-0.209791158780948;-0.209791158780948;-0.189002665912436;-0.153402361135185;-0.124760350179493;-0.166021918924212;-0.413059239484868;-0.346808477803124
"Barleria";-0.398172534811362;-0.381776615627812;-0.347110302265541;-0.266736557526742;-0.459075329927948;-0.4444511475256;-0.266736557526742;-0.347110302265541;-0.30922550686596;-0.381776615627812;5.54829137889435;-0.381776615627812;-0.364785594424214;-0.364785594424214;-0.328638490931917;-0.266736557526742;-0.2169337295492;-0.288679488373736;-0.718228838066674;-0.603031783903081
"Duosperma";-0.398172534811362;-0.381776615627812;-0.347110302265541;-0.266736557526742;-0.459075329927948;-0.4444511475256;-0.266736557526742;-0.347110302265541;-0.30922550686596;-0.381776615627812;-0.540723312349873;-0.381776615627812;-0.364785594424214;2.49822861635977;-0.328638490931917;-0.266736557526742;-0.2169337295492;-0.288679488373736;0.913536679997086;1.25631621646475
"Dyschoriste_radicans";-0.774642209136059;-0.742744049552605;-0.675300950850996;-0.518934326491791;4.05489764585158;-0.8646769645611;-0.518934326491791;-0.675300950850996;-0.601596315208804;-0.742744049552605;0.0249479968477184;-0.742744049552605;-0.709688122661845;-0.709688122661845;-0.639364155901033;-0.518934326491791;-0.422043232021842;-0.561624163032847;1.20008183756953;1.78645543487242
"Hypoestes";-2.17278844100111;-1.41219906470649;0.302498079007996;0.420010957179608;0.912755523906617;-0.667417215513909;1.35779404260649;1.03471305529838;4.02019908073654;-1.41219906470649;0.0248921236540205;-1.41219906470649;-0.591507763043513;-1.99059918430625;-0.252793663381925;-1.45555521367416;-1.18378606965211;-1.57529563356179;-1.12837786040906;5.34122420272575
"Isoglossa";-0.697881853104621;0.935563179567619;6.39479661506263;1.77481564687867;3.28161569063517;-0.778994941468248;-0.467512414299748;-0.608384455978475;-0.541983313492655;-0.669144525783463;-0.947732337737398;-0.669144525783463;-0.639364155901033;-0.639364155901033;-0.576008687193177;-0.467512414299748;-0.38022239090503;-0.505972056548306;-1.2588484353915;-1.05694115499615
"Justicia_anselliana";-1.45392052730129;-1.39405109538221;-1.26746761662182;-0.973984196457809;-0.2169337295492;-1.62290612805885;-0.973984196457809;-1.26746761662182;4.09310314877266;-1.39405109538221;3.10760060018966;0.325278588922516;2.25230554919682;-1.33200865812715;0.773344996694544;0.227262979173489;-0.792129981052145;-1.0541084511423;-0.0690158133438323;1.28971986175126
"Justicia_striata";-0.566429703744211;1.41056516275103;-0.493789923938328;-0.37945236310486;-0.653068407268615;-0.632264432655982;2.35049658256622;5.90078959106302;1.93370957585444;-0.54310530330521;-0.769218664886142;-0.54310530330521;-0.518934326491791;-0.518934326491791;-0.467512414299748;-0.37945236310486;-0.308604178886659;-0.410667795442077;-1.02173332512599;-0.857857046484609
