"";"km_groupe";"groupe_number";"A.E-e";"Fa-w";"Fa-upper";"Fa-sc 2";"Fa-sc 1";"Fb/Wd-upper";"Fb/Wd-low/middle";"Wcd";"Bd-wgc";"Bd-rtf";"Bd-wb 3";"Bd-wb 2";"Bd-wb 1";"Bd-spring 1";"Bd-spring 2";"S-xs";"S-xds";"D";"Wcd/Fb/Wd-river";"We/Bd/S-river"
"E200";"A.E-e";"1";"2.85745032983685";"-0.239741852840278";"0.830678960315251";"0.578151156045662";"0.225971386894617";"1.32962596643877";"0.723637391119532";"-0.330278678983339";"-0.630911398297615";"-0.845633952413787";"-0.441771825142202";"-0.538014338272605";"-0.62641362776493";"-0.14879184344749";"-1.0244853613922";"-1.00205897435404";"-0.587537575768144";"-1.40558890203041";"0.862485146513456";"0.4132279935429"
"E241";"A.E-e";"1";"3.14003010617957";"-0.505081571473281";"0.917790029916437";"0.872364129791606";"0.00295292721142523";"0.908937891260517";"0.672504376716799";"-0.374111219263433";"-0.312751098551892";"-0.725892083187286";"-0.294355238772325";"-0.336814332208216";"-0.408288435579736";"-0.40657620110754";"-0.586067995790515";"-0.960020612857986";"-1.14385312053298";"-1.31823149268021";"0.546313527306316";"0.311150413622724"
"E242";"A.E-e";"1";"3.24244494590256";"-0.448070489798113";"0.526567133618046";"0.590903952299672";"-0.0371596805056582";"1.36001397687894";"0.725437939561802";"-0.338443189159349";"-0.574887267962438";"-0.796940639994506";"-0.477024349661112";"-0.471450368127293";"-0.401495063756936";"-0.57324066717599";"-0.658846357413931";"-0.67602967037093";"-0.528768784121742";"-1.29700421420549";"0.592505309051072";"0.241487484941393"
"E244";"A.E-e";"1";"3.34222357763035";"-0.448445049294343";"0.423578253238202";"0.487673846623569";"-0.372956238194339";"1.50010029145189";"0.370832598806962";"-0.281932751335944";"-0.488990741060978";"-0.879875279240351";"-0.409209922733889";"-0.435704758969675";"-0.409805859421373";"-0.335994291818182";"-0.671714460418553";"-0.552178056042923";"-0.050462657551292";"-1.39664109942657";"0.475597454872365";"0.133905142885077"
"E245";"A.E-e";"1";"3.17922845870089";"-0.306359724800153";"0.68715729786495";"0.790153109580419";"-0.105144463767556";"0.987803059980946";"0.382510412374591";"-0.152882906490604";"-0.265621061352724";"-0.710184705738405";"-0.18889176962296";"-0.293196404656122";"-0.385729964784743";"-0.358396384595251";"-0.547013310671909";"-0.790273605892248";"-1.39891832764621";"-1.4852402872541";"0.588668065991248";"0.372332512779941"
"E246";"A.E-e";"1";"3.44218283690168";"-0.596846339315854";"0.582755232346859";"0.440687413071834";"-0.200066045577744";"1.23412413586566";"0.580344216477878";"-0.391149579234739";"-0.4488064799657";"-0.768899799682334";"-0.429557118634305";"-0.403433389997141";"-0.357956849293987";"-0.363182926735024";"-0.675557679064614";"-0.692958491510003";"-0.609534625686993";"-1.07815191208855";"0.551228257752901";"0.184779144370168"
"E247";"A.E-e";"1";"3.09939150368992";"-0.00714672829829822";"0.940272191054221";"0.461254737355185";"0.336828928308379";"1.26216420311942";"0.635694727682757";"-0.323801008981622";"-0.612387521164736";"-0.925646468310216";"-0.484271318527768";"-0.397895308424591";"-0.556905867541363";"-0.412054339934122";"-0.715696911373901";"-0.74777552143809";"-0.753752565922699";"-1.42734956060789";"0.540420490495757";"0.088656338819656"
"E248";"A.E-e";"1";"3.29847929330448";"-0.387342302054363";"0.579179086352432";"0.723768284685062";"-0.0714858496331111";"1.14244341910563";"0.288611647106391";"-0.429485108158292";"-0.262620753652029";"-0.845699481957806";"-0.125956842228762";"-0.290636517198714";"-0.565676567584353";"-0.256259119701236";"-0.486339495571245";"-0.964143065988254";"-0.640402434761817";"-1.52102144948705";"0.550478176557385";"0.264109080865657"
"E249";"A.E-e";"1";"3.36409353415267";"-0.479998106952962";"0.266351531666895";"0.441269861081995";"-0.35786785606248";"1.19922715801486";"0.236802092382909";"-0.476027092828783";"-0.0324823932397687";"-0.534729640288643";"0.0111454421661493";"0.00730736566263344";"-0.348456292414813";"-0.169889527142592";"-0.480018906924065";"-1.06472914542444";"-0.690167748117504";"-1.66200912301316";"0.409680573887979";"0.360498273393118"
"E250";"A.E-e";"1";"3.47891147995471";"-0.623035821643854";"0.462200547165176";"0.769300589703187";"-0.231962053626173";"1.05956148993058";"0.292640808690038";"-0.449344482804309";"-0.422840144027319";"-0.819973862225231";"-0.376996214162861";"-0.366080985681288";"-0.491597982677997";"-0.330310467903889";"-0.597444910333777";"-0.776775094208936";"-0.105194776600282";"-1.21356617282119";"0.515595076389905";"0.226912976883507"
