"";"Acanthaceae";"Acanthus";"Asystasia";"Barleria";"Duosperma";"Dyschoriste_radicans";"Hypoestes";"Isoglossa";"Justicia_anselliana";"Justicia_striata";"Justicia";"Justicia_flava";"Justicia_odora";"Megalochlamis_revoluta";"Mellera_lobulata";"Mimulopsis solmsii";"Phaulopsis_imbricata";"Ruellia_patula";"Ruttya_fruticosa";"Agavaceae";"Aizoaceae";"Limeum";"Alangium_chinense";"Aloe";"Achyranthes_aspera";"Aerva";"Aerva_javanica";"Aerva_lanata";"Alternanthera";"Amaranthus";"Celosia_argentea";"Celosia";"Celosia_trigyna";"Cyathula_orthacantha";"Digera_muricata";"Psilotrichum_elliottii";"Pupalia_lappacea";"Sericostachys_scandens";"Volkensinia_prostrata";"Amar/Cheno/Caryo";"Anacardiaceae";"Lannea";"Ozoroa_insignis";"Pistacia";"Rhus_vulgaris";"Sorindeia_madagascariensis";"Annona_senegalensis";"Apiaceae";"Diplolophium";"Hydrocotyle_mannii";"Steganotaenia_araliacea";"Acokanthera_schimperi";"Adenium_obesum";"Alstonia_boonei";"Apocynaceae";"Carissa_edulis";"Hunteria";"Oncinotis_nitida";"Rauvolfia";"Strophanthus_mirabilis";"Ilex_mitis";"Cussonia";"Polyscias_fulva";"Schefflera_abyssinica";"Schefflera_myriantha";"Schefflera_volkensii";"Tacazzea_apiculata";"Asparagus_aethiopicus";"Asparagus_buchananii";"Cichorieae";"Tubuliflorae";"Impatiens";"Barbeya_oleoides";"Basella_alba";"Begonia";"Kigelia";"Markhamia_zanzibarica";"Adansonia";"Cordia";"Echium";"Ehretia_cymosa";"Heliotropium_steudneri";"Brassicaceae";"Commiphora";"Caesalpiniaceae";"Cassia";"Delonix_elata";"Parkinsonia";"Piliostigma";"Pterolobium_stellatum";"Campanulaceae";"Canarina";"Warburgia";"Boscia";"Capparidaceae";"Capparis";"Cleome";"Cleome_brachycarpa";"Cleome_parvipetala";"Crateva_adansonii";"Maerua_crassifolia";"Caryophyllaceae";"Cerastium_afromontanum";"Cerastium_octandrum";"Drymaria_cordata";"Paronychia";"Scleranthus_orientalis";"Stellaria_mannii";"Uebelinia_abyssinica";"Cassine";"Maytenus_senegalensis";"Celastraceae/Hippocrateaceae";"Chenopodiaceae";"Chenopodium";"Suaeda_monoica";"Parinari";"Garcinia_gnetoides";"Garcinia_granulata";"Garcinia_volkensii";"Mammea_africana";"Gloriosa";"Anogeissus_leiocarpa";"Combretaceae";"Combretum_aculeatum";"Combretum_molle";"Commelinaceae";"Commelina_benghalensis";"Commelina_forskalaei";"Convolvulaceae";"Evolvulus";"Hildebrandtia_obcordata";"Ipomoea";"Coccinia_grandis";"Cucumis_dipsaceus";"Cucurbitaceae";"Kedrostis_foetidissima";"Cupressaceae";"Juniperus_procera";"Cyperaceae";"Tapura_fischeri";"Scabiosa";"Dracaena";"Drosera";"Diospyros";"Ebenaceae";"Euclea";"Ephedra";"Ericaceae";"Acalypha";"Alchornea";"Andrachne_aspera";"Argomuellera_macrophylla";"Bridelia";"Clutia";"Croton";"Erythrococca";"Euphorbia_tirucalli";"Euphorbiaceae";"Euphorbia_indica";"Flueggea_virosa";"Macaranga";"Micrococca_mercurialis";"Oldfieldia";"Phyllanthus_boehmii";"Phyllanthus_engleri";"Phyllanthus_maderaspatensis";"Phyllanthus_muellerianus";"Phyllanthus_reticulatus";"Ricinus_communis";"Shirakia_elliptica";"Tetrorchidium_didymostemon";"Aeschynomene_baumi";"Calpurnia_aurea";"Canavalia";"Crotalaria";"Desmodium_repandum";"Erythrina_abyssinica";"Fabaceae";"Indigofera_schimperi";"Lotus_arabicus";"Millettia_ferruginea";"Ormocarpum_trichocarpum";"Pterocarpus_lucens";"Rhynchosia_malacophylla";"Sesbania_sesban";"Tephrosia";"Trifolium_acaule";"Vatovaea_pseudolablab";"Vicia";"Flagellaria_indica";"Enicostema";"Gentianaceae";"Sebaea_brachyphylla";"Swertia_usambarensis";"Swertia_kilimandscharica";"Geranium";"Gunnera_perpensa";"Trichocladus_ellipticus";"Hymenocardia";"Harungana_madagascariensis";"Hypericum";"Psorospermum";"Apodytes_dimidiata";"Icacinaceae";"Basilicum_polystachyon";"Capitanya_otostegioides";"Hyptis_pectinata";"Lamiaceae";"Leonotis";"Leucas";"Ocimum_basilicum";"Ocotea";"Liliaceae";"Lobelia";"Lobelia_anceps";"Lobelia_rhynchopetalum";"Anthocleista";"Buddleja";"Nuxia/Dobera";"Loranthaceae";"Plicosepalus_sagittifolius";"Tapinanthus_globiferus";"Lythraceae";"Lythrum";"Caucanthus";"Malpighiaceae";"Abutilon";"Hibiscus/Pavonia";"Malvaceae";"Sida";"Heterotis_canescens";"Ekebergia_capensis";"Melia_volkensii";"Trichilia_emetica";"Bersama_abyssinica";"Cissampelos_mucronata";"Cocculus";"Stephania_abyssinica";"Tiliacora_funifera";"Acacia";"Albizia";"Dichrostachys_cinerea";"Entada";"Mimosa_pigra";"Monocotyledoneae";"Dorstenia";"Ficus";"Milicia_excelsa";"Moraceae";"Trilepisium_madagascariensis";"Moringa";"Myrica";"Embelia";"Maesa_lanceolata";"Myrsinaceae";"Myrsine_africana";"Rapanea_melanophloeos";"Eucalyptus";"Eugenia/Syzygium";"Nyctaginaceae";"Ximenia";"Chionanthus_mildbraedii";"Jasminum_abyssinicum";"Olea";"Olea_capensis";"Olea_europaea";"Oleaceae";"Onagraceae";"Borassus/Hyphaene";"Borassus";"Hyphaene";"Phoenix_reclinata";"Pterodiscus";"Phytolacca";"Pinus";"Pittosporum_abyssinicum";"Plantago";"Armeria/Limonium";"Poaceae";"Podocarpus";"Sphaerotylax_abyssinica";"Polygala";"Oxygonum";"Polygonum_plebeium";"Polygonum_senegalense";"Rumex";"Portulacaceae";"Potamogeton";"Anagallis_angustiloba";"Primulaceae";"Protea";"Clematis";"Ranunculus_multifidus";"Ranunculus_oreophytus";"Ranunculus";"Thalictrum";"Resedaceae";"Rhamnaceae";"Alchemilla";"Hagenia_abyssinica";"Prunus_africana";"Rosa_abyssinica";"Rubus_pinnatus";"Anthospermum";"Canthium";"Craterispermum_schweinfurthii";"Galiniera_saxifraga";"Gardenia_ternifolia";"Hallea_rubrostipulata";"Hymenodictyon_floribundum";"Keetia_gueinzii";"Kohautia_caespitosa";"Oldenlandia";"Pavetta_abyssinica";"Pavetta_gardeniifolia";"Plantas";"Psydrax_schimperiana";"Rubiaceae";"Rubia_cordifolia";"Spermacoce";"Tarenna_graveolens";"Uncaria_africana";"Vangueria_madagascariensis";"Citrus";"Rutaceae";"Teclea";"Zanthoxylum/Fagaropsis";"Salix";"Osyris";"Allophylus_abyssinicus";"Blighia_unijugata";"Cardiospermum_halicacabum";"Deinbollia_kilimandscharica";"Dodonaea_viscosa";"Glenniea_africana";"Lecaniodiscus/Aphania_senegalensis";"Pappea_capensis";"Zanha_golungensis";"Manilkara_butugii";"Mimusops_kummel";"Pouteria";"Sapotaceae";"Sideroxylon_oxyacantha";"Buchnera";"Striga_hermonthica";"Brucea";"Lycium";"Solanum";"Dombeya";"Hermannia";"Sterculia";"Tamarix";"Dicranolepis";"Gnidia";"Christiana africana";"Corchorus";"Grewia";"Tiliaceae";"Typha";"Celtis";"Chaetacme_aristata";"Trema_orientalis";"Urticaceae_D";"Urticaceae_P";"Urticaceae_Q";"Urticaceae_T";"Vahlia_somalensis";"Lantana_ukambensis";"Lantana_viburnoides";"Cissus";"Cyphostemma";"Vitaceae";"Balanites";"Fagonia";"Tribulus";"Zygophyllaceae";"Zygophyllum_simplex";"vegetation_group_inferred";"depositional_env"
"AML81.LS";0;0;0;0;0;0;0.00400801603206413;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00601202404809619;0;0;0;0;0.00200400801603206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0100200400801603;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00200400801603206;0;0;0;0;0;0;0;0;0.00200400801603206;0;0.00200400801603206;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00601202404809619;0;0;0;0.00400801603206413;0;0;0;0;0;0;0;0;0;0.00400801603206413;0;0;0;0;0;0;0;0;0;0;0;0;0.00400801603206413;0.114228456913828;0;0;0;0;0;0;0;0;0.0140280561122244;0.00200400801603206;0;0;0;0;0;0;0;0;0.00400801603206413;0.00200400801603206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00200400801603206;0;0;0;0;0;0;0;0;0;0;0;0;0.00200400801603206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00200400801603206;0;0;0;0;0;0;0.00200400801603206;0;0;0;0;0;0.0200400801603206;0;0;0;0;0;0;0;0;0;0;0;0;0;0.617234468937876;0.150300601202405;0;0;0;0;0;0.00601202404809619;0.00200400801603206;0;0;0;0;0;0;0;0;0;0;0;0.00200400801603206;0.00601202404809619;0;0;0;0;0.00200400801603206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00200400801603206;0;0;0;0;0;0.00200400801603206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"We-river";"We/Bd/S-river"
"AML81.LZ";0;0;0;0;0;0;0.00227963525835866;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00455927051671732;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00645896656534954;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.966565349544073;0.00417933130699088;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"We-river";"We/Bd/S-river"
"AML81.VR";0;0.00202429149797571;0;0;0;0;0.0870445344129555;0;0.00809716599190283;0;0;0;0.00607287449392713;0;0;0;0;0;0;0;0;0;0;0;0.01417004048583;0.00202429149797571;0;0;0;0;0;0.00202429149797571;0;0;0;0;0;0;0;0.0850202429149798;0;0;0;0;0.00404858299595142;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0202429149797571;0;0;0;0;0;0;0;0;0;0;0;0.00404858299595142;0;0;0;0;0;0;0;0;0;0;0;0.048582995951417;0.00607287449392713;0.00202429149797571;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0202429149797571;0;0;0;0.0404858299595142;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0121457489878543;0.216599190283401;0;0;0;0;0;0;0;0;0.00202429149797571;0.00404858299595142;0;0;0;0;0;0;0;0;0.00404858299595142;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00202429149797571;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00202429149797571;0;0;0;0;0;0;0;0;0;0;0;0;0.00202429149797571;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00607287449392713;0;0;0;0;0;0;0.0263157894736842;0;0;0;0;0;0;0;0;0;0;0;0.00202429149797571;0;0;0;0;0;0.00404858299595142;0.00202429149797571;0;0;0;0;0;0;0;0;0;0;0;0;0.293522267206478;0.0384615384615385;0;0;0;0;0.00202429149797571;0;0;0;0;0;0;0.00202429149797571;0;0;0;0;0;0;0;0;0;0;0;0;0.00202429149797571;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00202429149797571;0;0;0;0;0;0;0.00202429149797571;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0161943319838057;0.00202429149797571;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00202429149797571;0;0;"We-river";"We/Bd/S-river"
"AML81S33";0;0;0;0;0;0.00938967136150235;0.0328638497652582;0;0.0172143974960876;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00312989045383412;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.123630672926448;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00782472613458529;0.00625978090766823;0;0;0;0;0;0.00312989045383412;0.0297339593114241;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00312989045383412;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0109546165884194;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00625978090766823;0;0;0;0;0;0;0;0.00469483568075117;0;0;0;0;0;0;0;0;0.0438184663536776;0;0;0.13302034428795;0.00782472613458529;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0156494522691706;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0438184663536776;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00782472613458529;0.00312989045383412;0;0;0;0;0.00312989045383412;0;0;0;0;0;0;0;0.259780907668232;0.162754303599374;0;0;0;0;0;0;0;0.00469483568075117;0;0;0;0;0;0;0;0;0;0;0;0.0156494522691706;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0140845070422535;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00312989045383412;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"removed";"removed"
"AML81S36";0;0.00478468899521531;0;0;0;0.0215311004784689;0.076555023923445;0;0.119617224880383;0;0;0;0.0143540669856459;0;0;0;0;0;0;0;0;0;0;0;0.00717703349282297;0;0;0;0;0;0;0.00478468899521531;0;0;0;0;0;0;0;0;0;0;0;0;0.0167464114832536;0;0;0.00717703349282297;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00239234449760766;0.0239234449760766;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0143540669856459;0;0;0;0;0.076555023923445;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0119617224880383;0;0;0;0;0;0;0;0;0;0.00239234449760766;0;0;0;0;0;0;0;0;0;0;0;0;0.00717703349282297;0.0191387559808612;0;0;0;0;0;0;0.00478468899521531;0;0;0;0;0;0;0;0;0.0263157894736842;0;0;0.0143540669856459;0.0191387559808612;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00478468899521531;0;0;0;0;0;0.0382775119617225;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0334928229665072;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00478468899521531;0.00239234449760766;0;0;0;0;0;0;0;0;0;0;0.00239234449760766;0;0.217703349282297;0.167464114832536;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00478468899521531;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00239234449760766;0;0;0;0;0;0;0;0.00478468899521531;0;0;0;0;0;0;0;0;0;0.0143540669856459;0;0;0;0;0;0;0.00717703349282297;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"removed";"removed"
"Awash";0;0;0;0;0;0.00279524807826695;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0345911949685535;0;0;0;0;0;0;0;0.00454227812718379;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.017120894479385;0.0873515024458421;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0653389238294899;0;0;0;0;0;0;0.00384346610761705;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0076869322152341;0;0;0;0;0;0.00838574423480084;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00489168413696716;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00978336827393431;0.00559049615653389;0;0;0;0.00244584206848358;0;0.00349406009783368;0;0.00244584206848358;0;0;0;0;0;0;0;0;0;0.0139762403913347;0;0.575821104122991;0.0925925925925926;0;0.0101327742837177;0;0;0;0;0;0;0;0;0;0.0122292103424179;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0136268343815514;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"removed";"removed"
"Awash_350";0;0.0121654501216545;0;0;0;0;0.0097323600973236;0;0;0;0;0;0.0024330900243309;0;0;0;0;0;0;0;0;0;0;0;0.0048661800486618;0;0.0048661800486618;0;0.0024330900243309;0.0072992700729927;0;0;0;0.0024330900243309;0.0121654501216545;0;0.0024330900243309;0;0;0.0218978102189781;0;0;0;0;0.0024330900243309;0;0;0.0024330900243309;0;0;0;0;0;0;0;0;0;0;0;0;0.0024330900243309;0;0;0;0;0;0;0;0;0.0072992700729927;0.0194647201946472;0;0;0;0;0;0;0;0;0;0;0.0024330900243309;0;0;0;0.0024330900243309;0;0;0;0;0;0;0;0;0;0.0024330900243309;0;0;0;0.0024330900243309;0.024330900243309;0;0;0;0;0.0024330900243309;0;0;0;0;0;0;0;0.0024330900243309;0.0024330900243309;0;0;0;0;0;0;0;0;0;0.024330900243309;0;0;0;0;0;0;0;0;0;0;0;0;0.0364963503649635;0.199513381995134;0;0;0;0;0;0;0.0024330900243309;0;0;0.0048661800486618;0;0;0;0;0;0;0;0;0;0.0072992700729927;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0024330900243309;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0072992700729927;0;0;0;0;0;0.0024330900243309;0;0;0;0;0;0;0;0;0;0.0048661800486618;0;0;0.048661800486618;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0048661800486618;0;0;0.0024330900243309;0;0;0;0;0;0.0097323600973236;0.0024330900243309;0;0;0;0;0;0.0145985401459854;0;0;0;0;0.0024330900243309;0;0.369829683698297;0.024330900243309;0;0;0;0;0;0;0;0;0;0;0;0.0024330900243309;0;0;0;0;0;0;0;0;0;0.0024330900243309;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0218978102189781;0;0;0;0.0024330900243309;0;0;0.0170316301703163;0;0;0;0;0;0;0.0024330900243309;0;0.0024330900243309;0;0;0.0024330900243309;0;0.0072992700729927;0.0024330900243309;0.0072992700729927;0;0;"S-river";"We/Bd/S-river"
"Awash_352";0;0;0;0;0;0;0.0075;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0075;0;0;0;0.0925;0;0;0;0;0;0;0;0.0025;0;0;0;0;0;0;0;0.0025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.035;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0075;0;0;0;0;0;0;0;0;0;0.005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0425;0;0;0;0;0;0;0;0;0;0;0;0;0.0025;0;0;0;0;0;0;0;0;0;0;0.005;0.1375;0;0;0;0;0;0;0;0;0.0025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.005;0;0;0;0;0;0;0;0;0;0.0025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0025;0;0.3875;0.0025;0;0;0;0;0.195;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.005;0;0;0;0;0;0;0;0;0;0;0;0;0;0.03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0025;0;0;0;0;0;0;0;0;0;0;0.0075;0.0025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0025;0;0;"We-river";"We/Bd/S-river"
"Awash_547_bis";0;0.00452488687782805;0;0;0;0.00226244343891403;0.0203619909502262;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00452488687782805;0;0;0;0;0;0;0;0;0.00226244343891403;0;0;0;0;0;0;0;0;0;0;0.0113122171945701;0;0;0.00226244343891403;0;0;0;0.00226244343891403;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0158371040723982;0.0678733031674208;0;0;0;0;0;0;0;0;0;0;0;0.00226244343891403;0;0;0;0;0;0;0.00226244343891403;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0294117647058824;0.00226244343891403;0;0;0;0;0;0;0;0;0;0.0113122171945701;0;0.00226244343891403;0;0;0;0;0;0.00226244343891403;0;0;0;0;0.0226244343891403;0.0678733031674208;0;0;0;0;0;0;0.00226244343891403;0;0;0.00226244343891403;0;0;0;0;0;0;0.00226244343891403;0;0.00226244343891403;0;0;0;0;0;0;0;0.00226244343891403;0.0113122171945701;0.00678733031674208;0.00226244343891403;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00226244343891403;0;0.00226244343891403;0;0;0;0;0;0;0;0;0.00904977375565611;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0203619909502262;0;0.00452488687782805;0;0;0.00452488687782805;0;0;0;0;0;0;0;0;0;0;0;0;0.00226244343891403;0;0;0;0;0;0;0.00678733031674208;0.00226244343891403;0;0;0;0;0;0;0;0;0;0;0.00678733031674208;0;0.520361990950226;0.0542986425339367;0;0;0;0;0.00226244343891403;0.00226244343891403;0;0;0;0;0;0;0;0;0;0;0;0.00226244343891403;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0158371040723982;0;0.00904977375565611;0;0.00226244343891403;0;0;0;0;0;0;0.00226244343891403;0;0;0;0;0;0;0;0;0;0;0.00226244343891403;0;0;0;0.00226244343891403;0;0;0;0;0;0;0.0135746606334842;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00226244343891403;0;0;0;0;"We-river";"We/Bd/S-river"
"Awash_574";0;0;0;0;0;0;0.0082135523613963;0;0.00205338809034908;0;0;0.00410677618069815;0;0;0;0;0;0;0;0;0;0;0;0;0.00410677618069815;0;0;0.00205338809034908;0;0;0;0;0.00410677618069815;0;0;0;0.00205338809034908;0;0;0;0;0;0;0;0.00205338809034908;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0082135523613963;0.0184804928131417;0;0;0;0;0;0;0;0;0;0;0;0;0.00205338809034908;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00410677618069815;0;0;0;0;0;0;0;0;0;0;0;0;0.0205338809034908;0;0;0;0;0;0;0;0;0;0;0.0102669404517454;0;0;0;0;0;0;0;0;0;0;0;0;0.0143737166324435;0.418891170431211;0;0;0;0;0;0;0;0;0.00205338809034908;0;0;0;0;0;0;0;0;0;0;0.00205338809034908;0;0;0;0;0;0;0;0;0;0;0.00410677618069815;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00616016427104723;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0246406570841889;0;0;0;0;0;0;0;0;0;0;0;0.00410677618069815;0;0;0;0;0;0;0;0.00205338809034908;0;0;0;0;0.00205338809034908;0;0;0;0;0;0;0;0;0;0;0;0;0;0.320328542094456;0.00616016427104723;0;0;0;0;0;0.00205338809034908;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00410677618069815;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0082135523613963;0;0;0;0;0;0;0.0451745379876797;0;0;0;0;0;0;0;0;0;0.0123203285420945;0;0;0;0;0;0.0287474332648871;0;0;"S-river";"We/Bd/S-river"
